,duration(s),microsiemens,normalized_time,participantID,tag0,tag1
272,2563.4688754081726,27.588053,68.0,Participant_1493663240_A01890.p,False,
273,2563.7188968658447,27.489408,68.3,Participant_1493663240_A01890.p,False,
274,2563.9689180850983,27.149076,68.5,Participant_1493663240_A01890.p,False,
275,2564.2189395427704,27.149076,68.8,Participant_1493663240_A01890.p,False,
276,2564.468960762024,27.154202,69.0,Participant_1493663240_A01890.p,False,
277,2564.718982219696,27.14139,69.3,Participant_1493663240_A01890.p,False,
278,2564.9690034389496,27.197758,69.5,Participant_1493663240_A01890.p,False,
279,2565.2190248966217,27.124735,69.8,Participant_1493663240_A01890.p,False,
280,2565.4690461158752,27.131142,70.0,Participant_1493663240_A01890.p,False,
281,2565.7190675735474,27.111925,70.3,Participant_1493663240_A01890.p,False,
282,2565.969088792801,27.109362,70.5,Participant_1493663240_A01890.p,False,
283,2566.219110250473,27.065805,70.8,Participant_1493663240_A01890.p,False,
284,2566.4691314697266,27.015842,71.0,Participant_1493663240_A01890.p,False,
285,2566.7191529273987,26.801239,71.3,Participant_1493663240_A01890.p,False,
286,2566.969174385071,26.680815,71.5,Participant_1493663240_A01890.p,False,
287,2567.2191956043243,26.691065,71.8,Participant_1493663240_A01890.p,False,
288,2567.4692170619965,26.543737,72.0,Participant_1493663240_A01890.p,False,
289,2567.71923828125,26.283218,72.3,Participant_1493663240_A01890.p,False,
290,2567.969259738922,26.153828,72.5,Participant_1493663240_A01890.p,False,
291,2568.2192809581757,25.952696,72.8,Participant_1493663240_A01890.p,False,
292,2568.469302415848,25.8214,73.0,Participant_1493663240_A01890.p,False,
293,2568.7193236351013,25.71763,73.3,Participant_1493663240_A01890.p,False,
294,2568.9693450927734,25.6113,73.5,Participant_1493663240_A01890.p,False,
295,2569.219366312027,25.765032,73.8,Participant_1493663240_A01890.p,False,
296,2569.469387769699,25.741972,74.0,Participant_1493663240_A01890.p,False,
297,2569.7194089889526,25.570305,74.3,Participant_1493663240_A01890.p,False,
298,2569.9694304466248,25.556213,74.5,Participant_1493663240_A01890.p,False,
299,2570.219451904297,25.493439,74.8,Participant_1493663240_A01890.p,False,
300,2570.4694731235504,25.198568,75.0,Participant_1493663240_A01890.p,False,
301,2570.7194945812225,25.197289,75.3,Participant_1493663240_A01890.p,False,
302,2570.969515800476,25.225471,75.5,Participant_1493663240_A01890.p,False,
303,2571.219537258148,25.43301,75.8,Participant_1493663240_A01890.p,False,
