normalized_time,Participant_1493663240_A01890.p,Participant_1496443804_A01890.p
501.0,,77.4
502.0,,77.15
503.0,,76.85
504.0,,76.58
505.0,,76.35
506.0,,76.08
507.0,,75.82
508.0,,75.48
509.0,,75.13
510.0,,74.8
511.0,,74.47
512.0,,74.18
513.0,,73.83
514.0,,73.52
515.0,,73.3
516.0,,73.13
517.0,,72.97
518.0,,73.0
519.0,,73.07
520.0,,73.17
521.0,,73.28
522.0,,73.4
523.0,,73.55
524.0,,73.77
525.0,,74.0
526.0,,74.18
527.0,,74.45
528.0,,74.7
529.0,,75.02
530.0,,76.08
531.0,,77.17
532.0,,78.25
533.0,,79.35
534.0,,80.47
535.0,,81.57
536.0,,82.73
537.0,,83.85
538.0,,84.93
539.0,,86.02
540.0,,87.15
541.0,,88.27
542.0,,89.37
543.0,,90.48
544.0,,91.6
545.0,,92.72
546.0,,93.85
547.0,,95.0
548.0,,96.1
549.0,,97.07
550.0,,98.18
551.0,,99.15
552.0,,100.08
553.0,,100.75
554.0,,101.37
555.0,,102.05
556.0,,102.75
557.0,,103.5
558.0,,103.75
559.0,,104.02
560.0,,104.35
561.0,,104.7
562.0,,105.05
563.0,,105.47
564.0,,105.88
565.0,,106.33
566.0,,106.72
567.0,,107.13
568.0,,107.57
569.0,,108.05
570.0,,108.48
571.0,,108.93
572.0,,109.4
573.0,,109.93
574.0,,110.45
575.0,,110.93
576.0,,111.37
577.0,,111.68
578.0,,111.97
579.0,,112.23
580.0,,112.47
581.0,,112.72
582.0,,112.95
583.0,,113.15
584.0,,113.28
585.0,,113.37
586.0,,113.48
587.0,,113.55
588.0,,113.68
589.0,,113.82
590.0,,113.02
591.0,,112.17
592.0,,111.3
593.0,,110.43
594.0,,109.57
595.0,,108.63
596.0,,107.7
597.0,,106.73
598.0,,105.83
599.0,,105.0
600.0,,104.0
601.0,,103.1
602.0,,102.37
603.0,,101.47
604.0,,100.55
605.0,,99.5
606.0,,98.47
607.0,,97.47
608.0,,96.48
609.0,,95.58
610.0,,94.53
611.0,,93.55
612.0,,92.58
613.0,,91.82
614.0,,91.12
615.0,,90.37
616.0,,89.58
617.0,,89.1
618.0,,89.13
619.0,,89.15
620.0,,89.13
621.0,,89.08
622.0,,89.07
623.0,,89.07
624.0,,89.08
625.0,,89.02
626.0,,89.03
627.0,,89.07
628.0,,89.13
629.0,,89.22
